signal_timestamp,direction,setup_mode,rr_mode,swept_level_type,swept_level_price,reclaim_level,cisd_detected,mss_detected,fvg_detected,ifvg_detected,bpr_detected,entry_price,stop_loss,risk_distance,target_price,target_R,nearest_structural_target_type,nearest_structural_target_price,min_rr_gate_passed,rejection_reason,session,timeframe,outcome,order_sent,telegram_sent,broker_called
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,fixed_2r,london_range_high,4558.31,4558.31,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,fixed_3r,london_range_high,4558.31,4558.31,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,partial_2r_runner_3r,london_range_high,4558.31,4558.31,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,structural_min_2r,london_range_high,4558.31,4558.31,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,fixed_2r,ny_opening_range_high,4560.45,4560.45,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,fixed_3r,ny_opening_range_high,4560.45,4560.45,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,partial_2r_runner_3r,ny_opening_range_high,4560.45,4560.45,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,structural_min_2r,ny_opening_range_high,4560.45,4560.45,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,fixed_2r,h1_swing_high,4574.62,4574.62,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,fixed_3r,h1_swing_high,4574.62,4574.62,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,partial_2r_runner_3r,h1_swing_high,4574.62,4574.62,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
2026-05-05T16:00:00+00:00,SHORT,manipulation_reclaim_confirmation_retest_expansion,structural_min_2r,h1_swing_high,4574.62,4574.62,,,,,,,,,,,,,False,NO_RECLAIM,ny_am,M15,,False,False,False
