row_type,sample_id,symbol,anchor_timestamp,source_mode,session,volatility_bucket,daily_atr_at_anchor,direction_guess,direction_confidence,direction_source_timeframe,sweep_type,swept_level,sweep_extreme,sweep_timestamp,direction_reason_codes,entry_hypothesis_type,entry_price,entry_level_source,entry_level_confidence,entry_level_reason_codes,entry_is_heuristic,entry_level_is_heuristic,entry_direction_conflict,pip_size,matched_control_for_entry_source,matched_control_for_session,control_generation_method,control_random_seed,control_lookahead_safe,sweep_control_lookback_minutes,sweep_control_anchor_delay_minutes,control_skip_reason,sl_20_price,sl_40_price,sl_20_hit,sl_40_hit,time_to_sl_20_minutes,time_to_sl_40_minutes,reaction_5m_pips,reaction_15m_pips,reaction_30m_pips,reaction_60m_pips,reaction_240m_pips,time_to_50_pips_minutes,time_to_100_pips_minutes,time_to_250_pips_minutes,time_to_500_pips_minutes,time_to_1000_pips_minutes,fast_reaction_100pips_15m,slow_reaction_100pips_30m_plus,immediate_reaction_good,max_favorable_pips,max_adverse_pips,time_to_max_favorable_minutes,time_to_max_adverse_minutes,hit_50_pips,hit_100_pips,hit_250_pips,hit_500_pips,hit_1000_pips,be_possible_after_100_pips,returned_to_entry_after_100_pips,be_would_protect_after_100_pips,accumulation_after_entry,dirty_chop_after_entry,entry_cross_count_first_60m,m5_followthrough_quality,automatic_outcome_label,secondary_outcome_flags,reason_codes,limitations,visual_html_path
CANDIDATE,sample_246,XAUUSD,2026-02-23T10:15:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,MID,173.8536,SHORT,MEDIUM,M5,UPWARD_SWEEP,5139.68,5139.7,2026-02-23T10:15:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,True,True,True,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,ENTRY_DIRECTION_CONFLICT,examples/sample_246.html
CANDIDATE,sample_247,XAUUSD,2026-03-20T05:30:00+00:00,CANDIDATE_WINDOW_MODE,ASIA,MID,159.8371,SHORT,MEDIUM,M5,UPWARD_SWEEP,4735.46,4735.84,2026-03-20T05:25:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4730.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,True,False,0.1,,,,,,,,,4732.0,4734.0,True,True,0.0,0.0,-13.0,17.0,53.7,55.0,429.0,17.0,37.0,123.0,178.0,,False,True,False,685.0,57.2,192.0,0.0,True,True,True,True,False,True,False,False,False,True,5,GOOD,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL|SL20_BEFORE_50P|SLOW_100P_REACTION,,examples/sample_247.html
CANDIDATE,sample_248,XAUUSD,2026-03-19T13:15:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK,MID,141.8336,SHORT,HIGH,M5,UPWARD_SWEEP,4688.83,4699.78,2026-03-19T13:00:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,True,True,True,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,ENTRY_DIRECTION_CONFLICT,examples/sample_248.html
CANDIDATE,sample_249,XAUUSD,2026-04-20T20:15:00+00:00,CANDIDATE_WINDOW_MODE,OTHER,MID,131.2179,SHORT,MEDIUM,M5,UPWARD_SWEEP,4809.75,4810.59,2026-04-20T20:10:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4810.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,True,False,0.1,,,,,,,,,4812.0,4814.0,True,True,25.0,50.0,24.5,-4.4,15.8,-41.4,-43.0,,,,,,False,False,False,49.2,113.8,19.0,118.0,False,False,False,False,False,False,False,False,False,True,7,CHOP,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL|SL20_BEFORE_50P,,examples/sample_249.html
CANDIDATE,sample_250,XAUUSD,2026-04-21T01:15:00+00:00,CANDIDATE_WINDOW_MODE,ASIA,MID,128.1064,SHORT,MEDIUM,M5,UPWARD_SWEEP,4832.41,4833.01,2026-04-21T01:15:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4831.42,SWEEP_EXTREME,LOW,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME,True,True,False,0.1,,,,,,,,,4833.42,4835.42,False,False,,,-8.2,56.7,1.3,61.7,247.0,15.0,91.0,220.0,,,False,True,True,256.7,18.2,220.0,6.0,True,True,True,False,False,True,False,False,False,True,4,MODERATE,GOOD_SLOW_REACTION,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|SLOW_100P_REACTION,,examples/sample_250.html
CANDIDATE,sample_251,XAUUSD,2026-02-23T14:15:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK_OPEN,MID,173.8536,LONG,HIGH,M5,DOWNWARD_SWEEP,5148.67,5147.04,2026-02-23T14:05:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,5150.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,True,False,0.1,,,,,,,,,5148.0,5146.0,True,True,13.0,13.0,-8.8,21.0,132.2,34.9,531.7,23.0,26.0,141.0,159.0,,False,False,False,550.3,85.7,214.0,105.0,True,True,True,True,False,True,True,True,False,True,5,GOOD,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY|RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL|SL20_BEFORE_50P,,examples/sample_251.html
CANDIDATE,sample_252,XAUUSD,2026-02-23T20:30:00+00:00,CANDIDATE_WINDOW_MODE,OTHER,MID,173.8536,LONG,HIGH,M5,DOWNWARD_SWEEP,5206.01,5201.13,2026-02-23T20:25:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,True,True,True,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,ENTRY_DIRECTION_CONFLICT,examples/sample_252.html
CANDIDATE,sample_253,XAUUSD,2026-03-20T12:30:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK,MID,159.8371,LONG,HIGH,M5,DOWNWARD_SWEEP,4650.11,4645.96,2026-03-20T12:20:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4660.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,True,False,0.1,,,,,,,,,4658.0,4656.0,True,True,0.0,0.0,-26.1,-37.1,-185.9,43.3,-885.5,8.0,61.0,97.0,,,False,True,True,354.4,1085.9,101.0,238.0,True,True,True,False,False,True,True,True,False,True,7,GOOD,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY|RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL|SL20_BEFORE_50P|SLOW_100P_REACTION,,examples/sample_253.html
CANDIDATE,sample_254,XAUUSD,2026-03-23T04:00:00+00:00,CANDIDATE_WINDOW_MODE,ASIA,MID,166.9857,LONG,HIGH,M1,DOWNWARD_SWEEP,4386.23,4381.31,2026-03-23T03:59:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,True,True,True,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,ENTRY_DIRECTION_CONFLICT,examples/sample_254.html
CANDIDATE,sample_255,XAUUSD,2026-04-21T08:00:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,MID,128.1064,LONG,HIGH,M5,DOWNWARD_SWEEP,4788.67,4785.93,2026-04-21T08:00:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4790.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,True,False,0.1,,,,,,,,,4788.0,4786.0,True,True,0.0,3.0,23.3,0.4,6.7,-69.2,-46.7,36.0,,,,,False,False,False,70.0,173.5,41.0,122.0,True,False,False,False,False,False,False,False,False,True,12,CHOP,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL|SL20_BEFORE_50P,,examples/sample_255.html
