sample_id,candidate_id,decision_timestamp,old_direction,recovered_direction,final_direction,direction_source,direction_confidence,direction_recovery_reason,conflicting_evidence,pre_entry_only,used_post_entry_data,usable_for_directional_replay
sample_017,,2026-05-18T19:45:00+00:00,UNKNOWN,LONG,LONG,PRE_DECISION_SWEEP_INFERENCE,2,M1_DOWNWARD_SWEEP;sweep_timestamp=2026-05-18T19:29:00+00:00;sweep_extreme=4533.96;swept_level=4534.24;sweep_confidence=MEDIUM;PRE_ANCHOR_DOWNWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=MEDIUM,,True,False,True
sample_018,,2026-05-18T22:15:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_019,,2026-05-18T18:30:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_020,,2026-05-19T01:15:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_021,,2026-05-18T03:45:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_022,,2026-05-14T13:45:00+00:00,UNKNOWN,LONG,LONG,PRE_DECISION_SWEEP_INFERENCE,2,M1_DOWNWARD_SWEEP;sweep_timestamp=2026-05-14T13:24:00+00:00;sweep_extreme=4693.77;swept_level=4694.89;sweep_confidence=HIGH;PRE_ANCHOR_DOWNWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_023,,2026-05-13T07:15:00+00:00,UNKNOWN,SHORT,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,M1_UPWARD_SWEEP;sweep_timestamp=2026-05-13T06:38:00+00:00;sweep_extreme=4705.87;swept_level=4705.19;sweep_confidence=MEDIUM;PRE_ANCHOR_UPWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=MEDIUM,,True,False,True
sample_024,,2026-03-25T00:45:00+00:00,UNKNOWN,LONG,LONG,PRE_DECISION_SWEEP_INFERENCE,2,M1_DOWNWARD_SWEEP;sweep_timestamp=2026-03-25T00:32:00+00:00;sweep_extreme=4455.97;swept_level=4460.49;sweep_confidence=HIGH;PRE_ANCHOR_DOWNWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_025,,2026-05-18T15:30:00+00:00,UNKNOWN,SHORT,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,M1_UPWARD_SWEEP;sweep_timestamp=2026-05-18T14:41:00+00:00;sweep_extreme=4567.2;swept_level=4560.23;sweep_confidence=HIGH;PRE_ANCHOR_UPWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_026,,2026-05-18T21:15:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
