sample_id,source_artifact,input_file,decision_time,direction,direction_source,direction_confidence,entry_reference_price_source,data_availability_status,h3_state,h3_reference_price,h3_invalidation_extreme,h3_invalidation_source,h3_distance,h3_normalizer_value,h3_normalizer_source,h3_normalized_distance,h3_threshold_version,h3_formula_version,h3_pre_entry_only,h3_post_entry_data_used,h4_state,h4_zone_source,h4_zone_high,h4_zone_low,h4_retest_or_reclaim_timestamp,h4_pre_entry_only,h4_post_entry_data_used,pre_entry_only,post_entry_data_used,leakage_check_passed,leakage_check_notes,ohlc_read,matched_control_run,phase_4_unlocked,runtime_logic_changed
sample_026,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T21:15:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4543.85,4543.74,PRE_DECISION_SWEEP_LOW,0.11,5.95,M1_30_CLOSED_PRE_DECISION,0.018487,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4544.48,4541.97,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_027,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T11:30:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4546.8,4547.21,PRE_DECISION_SWEEP_HIGH,0.41,8.81,M1_30_CLOSED_PRE_DECISION,0.046538,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4550.54,4542.14,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_028,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T16:45:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4571.83,4573.05,PRE_DECISION_SWEEP_HIGH,1.22,16.0,M1_30_CLOSED_PRE_DECISION,0.07625,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RECLAIM_CONFIRMED,FVG_IFVG_METADATA_ZONE,4571.1,4568.51,2026-05-18T16:44:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_029,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T01:00:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,NO_VALID_INVALIDATION_EXTREME,4532.19,,,,10.35,M1_30_CLOSED_PRE_DECISION,,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,NO_ZONE_AVAILABLE,,,,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_030,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-13T13:30:00+00:00,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4699.04,4700.53,PRE_DECISION_SWING_HIGH,1.49,11.78,M1_30_CLOSED_PRE_DECISION,0.126486,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4699.35,4698.66,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_031,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-11T07:15:00+00:00,LONG,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4678.71,4678.42,PRE_DECISION_SWEEP_LOW,0.29,14.38,M1_30_CLOSED_PRE_DECISION,0.020167,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RETEST_FAILED_PRE_DECISION,FVG_IFVG_METADATA_ZONE,4681.4,4679.33,2026-05-11T07:00:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_032,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-03-24T01:15:00+00:00,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,NO_VALID_INVALIDATION_EXTREME,4440.51,,,,31.09,M1_30_CLOSED_PRE_DECISION,,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4442.1,4430.91,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_033,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T14:00:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4539.03,4537.93,PRE_DECISION_SWEEP_LOW,1.1,15.86,M1_30_CLOSED_PRE_DECISION,0.069357,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4541.55,4539.08,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_034,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T02:30:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,NO_VALID_INVALIDATION_EXTREME,4536.55,,,,10.24,M1_30_CLOSED_PRE_DECISION,,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RETEST_FAILED_PRE_DECISION,FVG_IFVG_METADATA_ZONE,4547.52,4545.42,2026-05-18T02:10:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_035,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T09:15:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4538.37,4538.89,PRE_DECISION_SWEEP_HIGH,0.52,13.39,M1_30_CLOSED_PRE_DECISION,0.038835,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4539.57,4537.56,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_036,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-18T10:30:00+00:00,SHORT,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,NO_VALID_INVALIDATION_EXTREME,4559.05,,,,13.16,M1_30_CLOSED_PRE_DECISION,,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RETEST_FAILED_PRE_DECISION,FVG_IFVG_METADATA_ZONE,4550.54,4542.14,2026-05-18T10:29:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_037,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-15T16:45:00+00:00,LONG,EXISTING_METADATA,3,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,NO_VALID_INVALIDATION_EXTREME,4512.44,,,,37.7,M1_30_CLOSED_PRE_DECISION,,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RETEST_FAILED_PRE_DECISION,FVG_IFVG_METADATA_ZONE,4541.65,4531.25,2026-05-15T16:40:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_038,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-11T13:45:00+00:00,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4662.86,4663.0,PRE_DECISION_SWEEP_HIGH,0.14,6.46,M1_30_CLOSED_PRE_DECISION,0.021672,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4664.56,4661.4,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_039,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-05-08T07:00:00+00:00,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4720.7,4720.8,PRE_DECISION_SWING_HIGH,0.1,13.02,M1_30_CLOSED_PRE_DECISION,0.00768,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,INSIDE_ZONE,FVG_IFVG_METADATA_ZONE,4721.77,4720.15,,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
sample_040,adelin_v2_preentry_outcome_diagnostics_direction_recovered,backtests\reports\adelin_v2_preentry_outcome_diagnostics_direction_recovered\sample_diagnostics.csv,2026-03-23T00:45:00+00:00,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,LAST_COMPLETED_M1_CLOSE_AT_DECISION,REVIEWABLE_M1_M5,TIGHT,4515.14,4515.8,PRE_DECISION_SWING_HIGH,0.66,32.37,M1_30_CLOSED_PRE_DECISION,0.020389,adelin_v2_h3_fixed_thresholds_0_25_0_50_v1,adelin_v2_h3_tight_sl_formula_v1_commit_56dcff0,true,false,RECLAIM_CONFIRMED,FVG_IFVG_METADATA_ZONE,4521.11,4517.02,2026-03-23T00:35:00+00:00,true,false,true,false,true,pre-decision M1/M5 candles only; no post-entry outcome fields used,true,false,false,false
