sample_id,source_mode,symbol,direction_guess,window_start,window_end,anchor_timestamp,anchor_timeframe,chart_path,html_path,htf_liquidity_class_manual,ltf_liquidity_class_manual,multi_tf_alignment_manual,liquidity_taken_manual,liquidity_depth_quality_manual,shallow_liquidity_trap_manual,target_liquidity_available_manual,reaction_zone_present_manual,reaction_zone_type_manual,reaction_zone_age_quality_manual,fvg_valid_manual,ifvg_valid_manual,volume_crack_present_manual,volume_profile_clean_manual,number_theory_confluence_manual,adelin_v2_label_manual,would_trade_manual,no_trade_reason_manual,setup_quality_score_manual,reversal_or_continuation_manual,rare_ifvg_continuation_candidate_manual,expected_sl_pips_manual,sl_acceptable_manual,be_after_reaction_manual,early_close_candidate_manual,accumulation_after_entry_manual,m1_engulfing_against_manual,runner_target_manual,partial_management_manual,expected_target_area_manual,actual_reaction_quality_manual,actual_followthrough_quality_manual,reviewer_confidence_manual,reviewer_notes
sample_030,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-07-17T12:00:00+00:00,2024-07-17T16:30:00+00:00,2024-07-17T13:30:00+00:00,M15,charts/sample_030.svg,examples/sample_030.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_031,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-11-08T06:30:00+00:00,2024-11-08T11:00:00+00:00,2024-11-08T08:00:00+00:00,M15,charts/sample_031.svg,examples/sample_031.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_032,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-11-24T23:45:00+00:00,2024-11-25T04:15:00+00:00,2024-11-25T01:15:00+00:00,M15,charts/sample_032.svg,examples/sample_032.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_033,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-05-16T00:30:00+00:00,2024-05-16T05:00:00+00:00,2024-05-16T02:00:00+00:00,M15,charts/sample_033.svg,examples/sample_033.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_034,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2024-05-14T19:45:00+00:00,2024-05-15T00:15:00+00:00,2024-05-14T21:15:00+00:00,M15,charts/sample_034.svg,examples/sample_034.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_035,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2024-05-16T14:00:00+00:00,2024-05-16T18:30:00+00:00,2024-05-16T15:30:00+00:00,M15,charts/sample_035.svg,examples/sample_035.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_036,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2024-07-05T14:15:00+00:00,2024-07-05T18:45:00+00:00,2024-07-05T15:45:00+00:00,M15,charts/sample_036.svg,examples/sample_036.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_037,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2024-08-02T14:15:00+00:00,2024-08-02T18:45:00+00:00,2024-08-02T15:45:00+00:00,M15,charts/sample_037.svg,examples/sample_037.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_038,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-07-25T12:15:00+00:00,2024-07-25T16:45:00+00:00,2024-07-25T13:45:00+00:00,M15,charts/sample_038.svg,examples/sample_038.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_039,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-11-15T06:30:00+00:00,2024-11-15T11:00:00+00:00,2024-11-15T08:00:00+00:00,M15,charts/sample_039.svg,examples/sample_039.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_040,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-12-01T23:45:00+00:00,2024-12-02T04:15:00+00:00,2024-12-02T01:15:00+00:00,M15,charts/sample_040.svg,examples/sample_040.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
