candidate_id,candidate_source,date,decision_timestamp,diagnostic_outcome_group,diagnostic_outcome_mapping_reason,direction,direction_confidence,direction_rule_version,direction_source,entry_price,fvg_ifvg_near_20p,hour,liquidity_htf_recent_level,m1_body_ratio,m1_close_high_ge_0_70,m1_close_location,m1_large_body_ge_0_60,nearest_fvg_ifvg_distance_pips,nearest_fvg_ifvg_zone_high,nearest_fvg_ifvg_zone_low,nearest_fvg_ifvg_zone_type,nearest_liquidity_distance_pips,nearest_liquidity_level,nearest_liquidity_type_timeframe,pre_entry_only,sample_id,sample_source,session,symbol,used_post_entry_data_for_direction,visual_html_path
sample_034,ROUND_LEVEL,2026-05-01,2026-05-01T12:30:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,4570.0,True,12,True,0.725806,False,0.037634,True,0.0,4570.92,4569.24,FVG_BEARISH,57.6,4564.24,M15_RECENT_LOW,True,sample_034,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK,XAUUSD,False,examples/sample_034.html
sample_037,ROUND_LEVEL,2026-01-30,2026-01-30T14:15:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,5120.0,True,14,False,0.283988,False,0.216012,False,0.0,5152.06,5098.04,FVG_BEARISH,257.4,5145.74,M5_RECENT_HIGH,True,sample_037,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK_OPEN,XAUUSD,False,examples/sample_037.html
sample_038,SWEEP_EXTREME,2026-01-30,2026-01-30T18:30:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,4987.5,False,18,True,0.650997,False,0.202279,True,237.7,5028.69,5011.27,FVG_BEARISH,69.0,4980.6,M15_RECENT_LOW,True,sample_038,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_038.html
sample_039,ROUND_LEVEL,2026-02-03,2026-02-03T06:30:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,4820.0,True,6,False,0.097744,True,0.819549,False,0.0,4823.47,4812.26,FVG_BULLISH,51.1,4825.11,M5_RECENT_HIGH,True,sample_039,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_039.html
sample_043,ROUND_LEVEL,2026-03-03,2026-03-03T06:30:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,5370.0,True,6,False,0.338129,False,0.165468,False,0.0,5371.1,5369.82,FVG_BULLISH,56.0,5375.6,M5_RECENT_HIGH,True,sample_043,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_043.html
sample_044,SWEEP_EXTREME,2026-03-03,2026-03-03T11:00:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,5291.93,False,11,False,0.067227,True,0.922689,False,107.0,5304.92,5302.63,FVG_BEARISH,16.0,5290.33,M5_RECENT_LOW,True,sample_044,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_044.html
sample_047,ROUND_LEVEL,2026-04-02,2026-04-02T02:30:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,4790.0,True,2,True,0.246667,False,0.673333,False,15.7,4791.86,4791.57,FVG_BULLISH,90.0,4799.0,M15_RECENT_HIGH,True,sample_047,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_047.html
sample_050,ROUND_LEVEL,2026-05-04,2026-05-04T06:00:00+00:00,CHOP_AFTER_ENTRY,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_WITH_DIRTY_CHOP,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,4610.0,True,6,False,0.929461,False,0.045643,True,0.0,4610.01,4609.5,FVG_BEARISH,86.8,4618.68,M5_RECENT_HIGH,True,sample_050,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_050.html
sample_051,SWEEP_EXTREME,2026-05-01,2026-05-01T21:30:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,4613.63,True,21,False,0.411043,True,0.920245,False,0.0,4616.38,4609.37,FVG_BULLISH,0.0,4613.63,M5_RECENT_LOW,True,sample_051,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_051.html
sample_053,ROUND_LEVEL,2026-02-04,2026-02-04T05:45:00+00:00,CHOP_AFTER_ENTRY,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_WITH_DIRTY_CHOP,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,5070.0,False,5,True,0.792683,False,0.065041,True,76.8,5062.32,5062.16,FVG_BULLISH,23.9,5072.39,M15_RECENT_HIGH,True,sample_053,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_053.html
sample_054,SWEEP_EXTREME,2026-02-03,2026-02-03T14:30:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,4892.4,True,14,False,0.78211,True,0.787844,True,5.5,4898.73,4892.95,FVG_BULLISH,86.0,4883.8,M5_RECENT_LOW,True,sample_054,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK_OPEN,XAUUSD,False,examples/sample_054.html
sample_057,ROUND_LEVEL,2026-03-03,2026-03-03T17:00:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,5040.0,False,17,True,0.669291,False,0.176378,True,181.5,5061.89,5058.15,FVG_BEARISH,241.6,5015.84,H1_RECENT_LOW,True,sample_057,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_057.html
