sample_id,symbol,anchor_timestamp,direction,c1_source,c1_timeframe,c1_priority,c1_level_type,c1_level_price,c1_swing_time,c1_known_at,sweep_timestamp,sweep_price,reaction_zone_type,reaction_zone_low,reaction_zone_high,reaction_zone_detected_at,round_level,round_distance_pips,liquidity_confluence_config,liquidity_confluence_distance_pips,entry_level_price,entry_level_source,session,chart_path,html_path,reason_codes,limitations
v3_sample_012,XAUUSD,2026-03-19T04:15:00+00:00,LONG,DAILY_SWING,D1,HIGH,SWING_LOW,4841.48,2026-02-17T00:00:00+00:00,2026-02-19T00:00:00+00:00,2026-03-19T02:55:00+00:00,4839.24,LVN_SANDWICH,4837.0,4838.0,2026-03-19T04:10:00+00:00,4840.0,14.8,CONFIG_A_H4_INTERNAL_M5_EXTERNAL,0.7,4837.5,LVN_SANDWICH,ASIA,charts/v3_sample_012.svg,examples/v3_sample_012.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_LVN_SANDWICH_24H_PROFILE|PROFILE_WINDOW_EXCLUDES_ANCHOR|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_013,XAUUSD,2026-03-23T11:45:00+00:00,LONG,DAILY_SWING,D1,HIGH,SWING_LOW,4271.54,2025-12-16T00:00:00+00:00,2025-12-18T00:00:00+00:00,2026-03-23T10:25:00+00:00,4212.56,FVG,4257.53,4267.6,2026-03-23T11:20:00+00:00,4270.0,15.4,CONFIG_B_DAILY_M15_SWEEP,9.0,4262.57,FVG,LONDON,charts/v3_sample_013.svg,examples/v3_sample_013.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_014,XAUUSD,2026-03-31T08:20:00+00:00,SHORT,DAILY_SWING,D1,HIGH,SWING_HIGH,4549.92,2025-12-26T00:00:00+00:00,2025-12-30T00:00:00+00:00,2026-03-31T07:00:00+00:00,4560.73,IFVG,4553.74,4556.71,2026-03-31T06:50:00+00:00,4550.0,0.8,CONFIG_B_DAILY_M15_SWEEP,8.7,4555.23,IFVG,LONDON,charts/v3_sample_014.svg,examples/v3_sample_014.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_015,XAUUSD,2026-04-17T22:50:00+00:00,LONG,H1_SWING,H1,MEDIUM,SWING_LOW,4859.08,2026-02-17T07:00:00+00:00,2026-02-17T10:00:00+00:00,2026-04-17T21:50:00+00:00,4855.92,LVN_SANDWICH,4856.0,4857.0,2026-04-17T22:45:00+00:00,4860.0,9.2,CONFIG_A_H4_INTERNAL_M1_EXTERNAL,9.3,4856.5,LVN_SANDWICH,OTHER,charts/v3_sample_015.svg,examples/v3_sample_015.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_LVN_SANDWICH_24H_PROFILE|PROFILE_WINDOW_EXCLUDES_ANCHOR|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_016,XAUUSD,2026-04-20T18:00:00+00:00,SHORT,DAILY_SWING,D1,HIGH,SWING_HIGH,4800.45,2026-04-02T00:00:00+00:00,2026-04-07T00:00:00+00:00,2026-04-20T16:40:00+00:00,4824.04,IFVG,4802.31,4802.92,2026-04-20T05:20:00+00:00,4800.0,4.5,CONFIG_B_DAILY_M15_SWEEP,8.9,4802.61,IFVG,OTHER,charts/v3_sample_016.svg,examples/v3_sample_016.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_017,XAUUSD,2026-04-22T02:35:00+00:00,LONG,H1_SWING,H1,MEDIUM,SWING_LOW,4730.68,2026-04-10T11:00:00+00:00,2026-04-10T14:00:00+00:00,2026-04-22T01:15:00+00:00,4719.2,FVG,4729.73,4730.44,2026-04-22T02:25:00+00:00,4730.0,6.8,CONFIG_A_H4_INTERNAL_M1_EXTERNAL,8.1,4730.08,FVG,ASIA_OPEN,charts/v3_sample_017.svg,examples/v3_sample_017.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_018,XAUUSD,2026-04-22T21:30:00+00:00,LONG,H1_SWING,H1,MEDIUM,SWING_LOW,4730.68,2026-04-10T11:00:00+00:00,2026-04-10T14:00:00+00:00,2026-04-22T21:20:00+00:00,4729.88,IFVG,4729.73,4730.44,2026-04-22T02:25:00+00:00,4730.0,6.8,CONFIG_A_H4_INTERNAL_M5_EXTERNAL,8.0,4730.08,IFVG,OTHER,charts/v3_sample_018.svg,examples/v3_sample_018.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_019,XAUUSD,2026-04-24T02:50:00+00:00,LONG,DAILY_SWING,D1,HIGH,SWING_LOW,4698.62,2026-04-09T00:00:00+00:00,2026-04-11T00:00:00+00:00,2026-04-24T01:30:00+00:00,4692.63,FVG,4694.62,4696.78,2026-04-24T02:40:00+00:00,4700.0,13.8,CONFIG_B_DAILY_M15_SWEEP,6.4,4695.7,FVG,ASIA_OPEN,charts/v3_sample_019.svg,examples/v3_sample_019.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_020,XAUUSD,2026-04-27T17:00:00+00:00,LONG,DAILY_SWING,D1,HIGH,SWING_LOW,4698.62,2026-04-09T00:00:00+00:00,2026-04-11T00:00:00+00:00,2026-04-27T15:40:00+00:00,4696.98,IFVG,4688.91,4694.7,2026-04-27T04:05:00+00:00,4700.0,13.8,CONFIG_B_DAILY_M15_SWEEP,9.3,4691.81,IFVG,NEW_YORK,charts/v3_sample_020.svg,examples/v3_sample_020.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_LOW_SWEPT|C5_LONG_FROM_LOW_SWEEP|C2_IFVG_LAST_COMPLETED_PRE_ANCHOR_RETEST|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_B_DAILY_SWING_M15_SWEEP|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
v3_sample_021,XAUUSD,2026-04-28T04:50:00+00:00,SHORT,H1_SWING,H1,MEDIUM,SWING_HIGH,4690.69,2026-01-19T01:00:00+00:00,2026-01-19T04:00:00+00:00,2026-04-28T03:30:00+00:00,4695.2,FVG,4690.93,4692.4,2026-04-28T04:05:00+00:00,4690.0,6.9,CONFIG_A_H4_INTERNAL_M5_EXTERNAL,7.7,4691.66,FVG,ASIA,charts/v3_sample_021.svg,examples/v3_sample_021.html,C1_AGED_D1_OR_H1_SWING|C1_SWING_HIGH_SWEPT|C5_SHORT_FROM_HIGH_SWEEP|C2_FVG_FIRST_PRE_ANCHOR_TOUCH_UNMITIGATED_BEFORE_TOUCH|ANCHOR_CANDLE_EXCLUDED|C3_NUMBER_THEORY_CONFLUENCE|C4_CONFIG_A_H4_INTERNAL_LTF_EXTERNAL|C5_DIRECTION_INFERENCE_UNAMBIGUOUS_BEYOND_SWEEP,
