tag,count
INSUFFICIENT_DATA,19
CONTINUATION_AGAINST_ENTRY,15
PRICE_CHOP_AFTER_ENTRY,12
REACTION_TOO_LATE,8
NO_IMMEDIATE_REACTION,6
STOP_TOO_WIDE,4
VOLUME_NOT_CONFIRMING_REVERSAL,4
TARGET_TOO_FAR,1
