sample_id,source_mode,symbol,direction,decision_timestamp,chart_path,html_path,execution_data_status,entry_reference_price,entry_reference_source,m1_range_pips,m1_body_ratio,m1_upper_wick_ratio,m1_lower_wick_ratio,m1_close_location,m1_tick_volume,m5_range_pips,m5_body_ratio,m5_upper_wick_ratio,m5_lower_wick_ratio,m5_close_location,m5_tick_volume,m15_range_pips,m15_body_ratio,m15_upper_wick_ratio,m15_lower_wick_ratio,m15_close_location,m15_tick_volume,session,nearest_round_level,round_level_distance_pips,numeric_level_confluence_20p,tight_numeric_level_touch_band,nearest_liquidity_level,liquidity_type_timeframe,distance_to_liquidity_pips,fvg_ifvg_proximity_available,nearest_fvg_ifvg_zone_type,nearest_fvg_ifvg_distance_pips,nearest_fvg_ifvg_zone_low,nearest_fvg_ifvg_zone_high,compression_6_m5_range_pips,compression_24_m5_range_pips,compression_overlap_proxy,expansion_before_decision_proxy,m5_tick_volume_ratio_20,volume_crack_proxy,m15_context_range_pips,volatility_range_context,target_space_proxy_pips,target_space_proxy_source,sl20_price_proxy,sl40_price_proxy,post_entry_replay_available,max_favorable_pips,max_adverse_pips,max_favorable_usd,max_adverse_usd,max_favorable_r_20pip,max_adverse_r_20pip,time_to_first_50p_favorable_minutes,time_to_first_100p_favorable_minutes,time_to_first_20p_adverse_minutes,time_to_first_40p_adverse_minutes,tp1_proxy_50p_hit,tp2_proxy_100p_hit,tp3_proxy_250p_hit,tp4_proxy_500p_hit,sl20_hit,sl40_hit,timeout_no_followthrough,entry_cross_count_first_60m,final_diagnostic_outcome,failure_mode_tags,win_mode_tags,limitations
sample_014,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-15T13:45:00+00:00,charts/sample_014.svg,examples/sample_014.html,REVIEWABLE_M1_M5,4558.54,LAST_COMPLETED_M1_CLOSE_AT_DECISION,45.8,0.744541,0.058952,0.196507,0.941048,0.0,93.4,0.479657,0.423983,0.09636,0.576017,0.0,183.5,0.598365,0.352589,0.049046,0.647411,0.0,OTHER,4560.0,14.6,True,10-20_PIPS,4563.81,M5_RECENT_HIGH,52.7,True,FVG_BEARISH,3.9,4557.89,4558.15,138.6,319.2,False,False,,False,406.9,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_015,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-15T07:15:00+00:00,charts/sample_015.svg,examples/sample_015.html,REVIEWABLE_M1_M5,4618.5,LAST_COMPLETED_M1_CLOSE_AT_DECISION,26.8,0.585821,0.212687,0.201493,0.201493,0.0,64.8,0.905864,0.087963,0.006173,0.006173,0.0,133.4,0.688156,0.042729,0.269115,0.269115,0.0,OTHER,4620.0,15.0,True,10-20_PIPS,4623.44,M5_RECENT_HIGH,49.4,True,FVG_BEARISH,0.0,4615.4,4618.89,110.0,159.7,False,False,,False,161.4,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_016,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-03-26T01:15:00+00:00,charts/sample_016.svg,examples/sample_016.html,REVIEWABLE_M1_M5,4508.69,LAST_COMPLETED_M1_CLOSE_AT_DECISION,17.6,0.113636,0.852273,0.034091,0.034091,226.0,67.5,0.297778,0.61037,0.091852,0.091852,1221.0,157.6,0.21066,0.261421,0.527919,0.527919,3711.0,OTHER,4510.0,13.1,True,10-20_PIPS,4497.96,M5_RECENT_LOW,107.3,True,FVG_BEARISH,0.0,4506.42,4519.12,267.5,400.2,False,False,1.429994,False,400.2,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_017,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-18T19:45:00+00:00,charts/sample_017.svg,examples/sample_017.html,REVIEWABLE_M1_M5,4544.66,LAST_COMPLETED_M1_CLOSE_AT_DECISION,17.9,0.681564,0.01676,0.301676,0.98324,0.0,58.8,0.82483,0.083333,0.091837,0.916667,0.0,115.4,0.586655,0.366551,0.046794,0.633449,0.0,NEW_YORK,4540.0,46.6,False,GT_20_PIPS,4550.72,M5_RECENT_HIGH,60.6,True,FVG_BULLISH,0.0,4544.55,4546.68,167.6,188.4,False,False,,False,225.6,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_018,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T22:15:00+00:00,charts/sample_018.svg,examples/sample_018.html,REVIEWABLE_M1_M5,4553.14,LAST_COMPLETED_M1_CLOSE_AT_DECISION,33.9,0.383481,0.303835,0.312684,0.312684,0.0,47.1,0.62845,0.265393,0.106157,0.106157,0.0,92.8,0.306034,0.142241,0.551724,0.551724,0.0,OTHER,4550.0,31.4,False,GT_20_PIPS,4565.04,M5_RECENT_HIGH,119.0,True,FVG_BEARISH,0.0,4550.92,4557.82,309.6,309.6,False,False,,False,309.6,LOW,311.3,RECENT_M15_HIGH,4551.14,4549.14,True,336.1,66.6,33.61,6.66,16.805,3.33,20.0,165.0,2.0,10.0,True,True,True,False,True,True,False,4,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,
sample_019,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-18T18:30:00+00:00,charts/sample_019.svg,examples/sample_019.html,REVIEWABLE_M1_M5,4534.24,LAST_COMPLETED_M1_CLOSE_AT_DECISION,21.7,0.211982,0.709677,0.078341,0.078341,0.0,72.4,0.850829,0.062155,0.087017,0.937845,0.0,102.8,0.372568,0.566148,0.061284,0.433852,0.0,NEW_YORK,4530.0,42.4,False,GT_20_PIPS,4531.88,M5_RECENT_LOW,23.6,True,FVG_BULLISH,35.6,4537.8,4541.84,106.3,523.9,True,False,,False,523.9,HIGH,43.9,RECENT_M15_LOW,4536.24,4538.24,True,2.8,308.0,0.28,30.8,0.14,15.4,,,1.0,1.0,False,False,False,False,True,True,True,0,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|STOP_TOO_WIDE|TARGET_TOO_FAR|VOLUME_NOT_CONFIRMING_REVERSAL,,
sample_020,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-19T01:15:00+00:00,charts/sample_020.svg,examples/sample_020.html,REVIEWABLE_M1_M5,4572.85,LAST_COMPLETED_M1_CLOSE_AT_DECISION,17.1,0.251462,0.71345,0.035088,0.035088,135.0,19.7,0.203046,0.416244,0.380711,0.583756,543.0,34.4,0.139535,0.366279,0.494186,0.494186,1604.0,OTHER,4570.0,28.5,False,GT_20_PIPS,4574.5,M5_RECENT_HIGH,16.5,True,FVG_BULLISH,34.1,4562.47,4569.44,171.4,,False,False,,False,404.6,LOW,388.9,RECENT_M15_LOW,4574.85,4576.85,True,213.4,163.9,21.34,16.39,10.67,8.195,155.0,164.0,24.0,25.0,True,True,False,False,True,True,False,8,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE,
sample_021,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-18T03:45:00+00:00,charts/sample_021.svg,examples/sample_021.html,REVIEWABLE_M1_M5,4484.93,LAST_COMPLETED_M1_CLOSE_AT_DECISION,48.9,0.680982,0.05317,0.265849,0.94683,0.0,161.1,0.788951,0.130354,0.080695,0.869646,0.0,364.0,0.945055,0.019231,0.035714,0.980769,0.0,ASIA,4480.0,49.3,False,GT_20_PIPS,4480.3,H1_RECENT_LOW,46.3,True,FVG_BEARISH,183.6,4503.29,4514.37,533.2,717.6,False,True,,False,677.9,MID,699.6,RECENT_M15_HIGH,4482.93,4480.93,True,649.0,0.0,64.9,0.0,32.45,0.0,2.0,4.0,,,True,True,True,True,False,False,False,0,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|STRONG_MFE_LOW_MAE,
sample_022,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-14T13:45:00+00:00,charts/sample_022.svg,examples/sample_022.html,REVIEWABLE_M1_M5,4693.81,LAST_COMPLETED_M1_CLOSE_AT_DECISION,15.8,0.164557,0.721519,0.113924,0.278481,297.0,29.4,0.234694,0.47619,0.289116,0.289116,1411.0,66.3,0.52187,0.119155,0.358974,0.880845,4539.0,OTHER,4690.0,38.1,False,GT_20_PIPS,4688.48,M5_RECENT_LOW,53.3,True,FVG_BEARISH,0.0,4693.24,4698.19,62.9,168.4,False,False,1.021428,False,168.4,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_023,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-13T07:15:00+00:00,charts/sample_023.svg,examples/sample_023.html,REVIEWABLE_M1_M5,4698.41,LAST_COMPLETED_M1_CLOSE_AT_DECISION,6.8,0.102941,0.367647,0.529412,0.632353,109.0,45.6,0.846491,0.074561,0.078947,0.925439,898.0,53.9,0.564007,0.369202,0.06679,0.630798,2681.0,OTHER,4700.0,15.9,True,10-20_PIPS,4705.87,M5_RECENT_HIGH,74.6,True,FVG_BULLISH,0.0,4696.09,4700.24,83.1,183.0,False,False,0.623243,False,183.0,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
