tag,count
CONTINUATION_AGAINST_ENTRY,24
PRICE_CHOP_AFTER_ENTRY,19
REACTION_TOO_LATE,15
NO_IMMEDIATE_REACTION,11
STOP_TOO_WIDE,7
VOLUME_NOT_CONFIRMING_REVERSAL,7
TARGET_TOO_FAR,1
