tag,count
CLEAN_TARGET_SPACE,33
FVG_IFVG_REACTION,23
ROUND_LEVEL_REACTION,15
FAST_REACTION,10
CLEAN_SWEEP_REJECTION,7
STRONG_MFE_LOW_MAE,7
